                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0305,                 83.185,                 1.4439,                0.01377,                0.11111,                0.00274,                0.00114,                 2.3875,                 36.421,                  1.141,                0.00016,                0.00016,                0.00016
                      2,                 2.4967,                 13.994,                 1.1844,                0.00693,                0.33333,                0.00422,                0.00159,                 2.2752,                 529.15,                 1.0725,             0.00033663,             0.00033663,             0.00033663
                      3,                 2.2665,                 4.8488,                 1.0602,                0.00638,                0.44444,                0.00443,                0.00155,                 2.6637,                 319.01,                 1.1572,              0.0005097,              0.0005097,              0.0005097
                      4,                 2.2001,                  2.841,                 1.1036,                      1,                0.11111,                0.15325,                 0.0448,                 2.6419,                 51.483,                 1.1875,             0.00067921,             0.00067921,             0.00067921
                      5,                  2.285,                  2.166,                   1.11,                0.77517,                0.44444,                0.45487,                0.14559,                 2.5331,                 3.0834,                 1.1764,             0.00084515,             0.00084515,             0.00084515
                      6,                 2.3956,                 2.2487,                 1.1047,                0.71754,                0.66667,                0.58406,                0.17852,                 2.6316,                 5.8376,                 1.2605,              0.0010075,              0.0010075,              0.0010075
                      7,                 2.4123,                 1.9687,                 1.0847,                0.61022,                0.55556,                0.46106,                0.21402,                 2.1362,                 3.1666,                 1.0859,              0.0011663,              0.0011663,              0.0011663
                      8,                 2.2826,                 2.0279,                 1.1256,                0.64956,                0.21082,                0.22742,                0.09141,                 2.8092,                 3.2648,                 1.5031,              0.0013216,              0.0013216,              0.0013216
                      9,                  2.329,                 1.8282,                 1.1086,                0.48847,                0.22222,                0.18888,                0.06053,                 2.9844,                  3.904,                  1.355,              0.0014733,              0.0014733,              0.0014733
                     10,                 2.2682,                 1.7003,                 1.1308,                0.00709,                0.11111,                0.00723,                0.00362,                  3.057,                 4.7856,                 1.3608,              0.0016214,              0.0016214,              0.0016214
                     11,                  2.534,                 1.6007,                 1.1396,                0.02778,                0.11111,                0.01942,                0.00583,                 3.2653,                 6.3077,                 1.3069,               0.001766,               0.001766,               0.001766
                     12,                 2.3264,                 1.5411,                 1.1032,                 0.0041,                0.11111,                0.00415,                0.00125,                 3.4252,                 5.5369,                 1.4511,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.3428,                 1.5187,                 1.0887,                 0.0041,                0.11111,                0.00415,                0.00125,                 3.4067,                 5.1729,                 1.6368,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.2739,                 1.3915,                 1.0775,                0.45739,                0.11111,                0.14561,                0.06494,                 3.3353,                 3.4807,                 1.5222,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.2367,                 1.4007,                 1.0702,                0.80438,                0.11111,                0.16058,                0.05672,                 2.9183,                  4.343,                 1.4423,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.2354,                 1.4299,                 1.1165,                0.93221,                0.11111,                0.16422,                0.07404,                 2.7747,                 4.0891,                 1.2817,               0.001703,               0.001703,               0.001703
                     17,                 2.0981,                 1.3447,                 1.0388,                0.01231,                0.44444,                0.08293,                0.01398,                 3.1267,                 3.6684,                 1.3546,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.1725,                 1.3255,                 1.0511,                0.00313,                0.44444,                0.00934,                0.00189,                 3.6306,                 3.3395,                 1.4957,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.1322,                 1.2725,                 1.0427,                0.00449,                0.44444,                0.01654,                0.00605,                 3.0697,                 2.9374,                 1.3244,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.0306,                 1.2403,                 1.0307,                0.44392,                0.44444,                0.39651,                0.13773,                 2.2808,                 1.8409,                 1.1032,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.0771,                 1.3047,                  1.074,                0.50845,                0.44444,                0.37676,                0.10214,                 2.5398,                 1.7996,                 1.1501,               0.001604,               0.001604,               0.001604
                     22,                 2.0278,                 1.1781,                 1.0213,                0.56776,                0.44444,                 0.3093,                0.10164,                 2.5861,                 1.6665,                 1.1521,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.0962,                 1.2083,                 1.0501,                0.54521,                0.33333,                0.31773,                0.14106,                 2.4685,                 1.9367,                 1.1091,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.1344,                 1.1829,                 1.0613,                0.38847,                0.11111,                0.08717,                 0.0523,                 2.6635,                 3.9685,                 1.1924,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.1451,                 1.2082,                 1.0423,                0.25985,                0.66667,                0.31551,                0.12113,                  2.742,                 2.0225,                 1.2377,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.0167,                 1.1552,                 1.0302,                 0.5294,                0.55556,                0.37806,                0.12767,                 2.9173,                 1.7458,                 1.2331,               0.001505,               0.001505,               0.001505
                     27,                 1.9463,                 1.1558,                  1.029,                0.94675,                0.44444,                 0.5164,                0.20295,                 2.5997,                 1.8845,                   1.15,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.0588,                 1.1579,                 1.0342,                0.30441,                0.33333,                0.26596,                0.11049,                 2.3581,                 3.1645,                 1.1011,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.0075,                 1.1511,                 1.0136,                0.33189,                0.22222,                0.18075,                0.06645,                 2.4745,                 2.9101,                  1.134,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.0513,                  1.171,                 1.0398,                0.66776,                0.44444,                0.49188,                0.20337,                 2.5567,                 2.3472,                 1.1391,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.9692,                 1.1418,                 1.0101,                0.81178,                0.55556,                0.55462,                0.21879,                 2.5154,                 1.8196,                 1.0804,               0.001406,               0.001406,               0.001406
                     32,                   1.98,                 1.0912,                 1.0151,                0.93149,                0.55556,                0.57004,                0.20938,                 2.6314,                 1.5708,                  1.154,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.8801,                0.99677,                  1.009,                 0.9459,                0.44444,                0.47396,                0.17331,                 2.7996,                 1.5968,                  1.189,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.8518,                0.94362,                0.98205,                0.93798,                0.44444,                 0.5261,                0.19483,                 2.5326,                 2.0809,                 1.1429,              0.0013466,              0.0013466,              0.0013466
                     35,                  1.848,                 0.9614,                0.96737,                0.96869,                0.44444,                0.50841,                0.18826,                 2.5664,                 2.1468,                 1.1754,              0.0013268,              0.0013268,              0.0013268
                     36,                  1.818,                0.91318,                0.95894,                0.96468,                0.33333,                0.48776,                0.16878,                 2.6333,                 2.4421,                 1.1784,               0.001307,               0.001307,               0.001307
                     37,                 1.8442,                0.92381,                0.99509,                 0.8212,                0.55556,                0.62259,                0.15371,                 2.5324,                 2.1317,                 1.1672,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.8875,                0.93379,                0.97373,                      1,                0.54972,                0.58797,                 0.1716,                 2.4158,                 2.0639,                 1.1459,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.7555,                0.93114,                0.96864,                0.75412,                0.44444,                0.43745,                0.12528,                 2.6025,                 1.9076,                 1.1983,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.8414,                0.93901,                 1.0014,                0.81536,                0.55556,                0.56391,                0.18942,                 2.7207,                 1.7791,                 1.1892,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.7785,                0.96174,                0.96145,                0.82366,                0.55556,                0.62562,                 0.2262,                 2.5334,                 1.7314,                 1.1297,               0.001208,               0.001208,               0.001208
                     42,                 1.7937,                0.91025,                0.98093,                0.60674,                0.55556,                 0.5288,                0.22306,                 2.4075,                 1.8546,                 1.1215,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.6404,                0.86689,                 0.9398,                0.79005,                0.55556,                0.59367,                0.23322,                 2.4624,                 1.6603,                 1.1329,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.7251,                0.92243,                0.96771,                0.76448,                0.55556,                0.63699,                0.28968,                  2.307,                 1.4618,                 1.0687,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.7911,                0.94333,                0.95558,                0.97772,                0.55556,                0.66288,                0.27023,                 2.3625,                 1.4146,                 1.0658,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.7141,                0.86162,                 0.9393,                0.85666,                0.66443,                0.72311,                0.24703,                  2.489,                 1.5561,                 1.1244,               0.001109,               0.001109,               0.001109
                     47,                  1.677,                0.86014,                0.95917,                0.83342,                0.66667,                0.73418,                0.27604,                  2.233,                 1.4919,                 1.0393,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.6002,                0.80908,                0.93337,                0.85437,                0.66667,                0.70218,                0.26341,                 2.3053,                 1.4196,                 1.0449,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.7003,                0.84697,                0.93595,                0.85312,                0.64788,                0.66462,                0.21326,                 2.3444,                 1.5931,                 1.0829,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.6084,                0.79146,                0.92252,                0.81579,                0.55556,                0.63196,                0.21023,                 2.3981,                 1.6016,                 1.0838,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.5264,                0.76808,                0.92331,                 0.8146,                0.55556,                0.65448,                0.23063,                 2.2669,                 1.6339,                 1.1003,                0.00101,                0.00101,                0.00101
                     52,                 1.6486,                0.81245,                0.91738,                0.79059,                0.55556,                0.62994,                0.24454,                 2.2856,                 1.7584,                 1.0775,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.5754,                0.76417,                0.91785,                0.99645,                0.55556,                0.66877,                0.26906,                 2.2461,                 1.7008,                 1.0612,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.5555,                0.77015,                0.93804,                0.96388,                0.55556,                0.64558,                0.23707,                 2.3804,                 1.8049,                 1.0819,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.5951,                0.76983,                0.93009,                0.97136,                0.55556,                0.60048,                 0.2416,                 2.2415,                 1.9602,                 1.1092,              0.0009308,              0.0009308,              0.0009308
                     56,                  1.612,                0.76925,                0.92541,                      1,                0.53748,                0.60907,                0.21089,                 2.5265,                 1.8269,                 1.1381,               0.000911,               0.000911,               0.000911
                     57,                 1.4818,                0.74748,                0.92979,                0.68891,                0.55556,                0.60287,                0.19011,                 2.5932,                 1.7298,                 1.1338,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.4851,                0.74823,                0.90987,                0.69499,                0.55556,                0.60869,                 0.2072,                 2.6164,                 1.6692,                 1.1258,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.5254,                0.72138,                0.91807,                0.93312,                0.44444,                0.60592,                0.19876,                 2.5982,                 1.5249,                 1.1304,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.4391,                0.69482,                0.91605,                0.57663,                0.77778,                0.70449,                0.30175,                  2.318,                 1.3858,                 1.0916,              0.0008318,              0.0008318,              0.0008318
                     61,                  1.563,                0.76682,                0.90996,                      1,                0.53098,                0.65933,                0.25482,                 2.4352,                  1.736,                 1.1154,               0.000812,               0.000812,               0.000812
                     62,                 1.5045,                0.72525,                0.91168,                0.95576,                0.55556,                0.67677,                0.27382,                   2.29,                 2.0027,                 1.1085,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.4851,                 0.7292,                0.92353,                0.94916,                0.55556,                0.67597,                0.25346,                  2.329,                 1.7833,                 1.1062,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.4887,                0.69361,                0.90084,                0.95275,                0.55556,                0.65819,                0.24622,                  2.447,                 1.9363,                 1.0864,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.4468,                0.71031,                0.89549,                0.94896,                0.55556,                0.64865,                0.23773,                  2.509,                 2.1172,                 1.1239,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.3677,                 0.6664,                0.90115,                 0.9491,                0.55556,                0.63266,                0.22678,                 2.6796,                 2.1282,                  1.205,               0.000713,               0.000713,               0.000713
                     67,                 1.4221,                0.66861,                0.89353,                0.95801,                0.55556,                0.61824,                0.22141,                 2.6761,                 2.1559,                 1.2188,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.3991,                0.67207,                0.88447,                0.94744,                0.44444,                0.59462,                0.18386,                 2.7452,                  2.249,                 1.2175,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.3324,                0.68635,                 0.8933,                0.96149,                0.44444,                0.57199,                0.18149,                  2.623,                 2.2313,                 1.2075,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.3557,                0.66253,                 0.8759,                0.81419,                0.55556,                 0.5987,                0.20931,                 2.4672,                 2.1658,                 1.1821,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.3462,                0.63929,                0.88601,                0.95279,                0.44444,                0.57337,                 0.1756,                 2.5844,                 2.1474,                 1.2001,               0.000614,               0.000614,               0.000614
                     72,                 1.2871,                0.62572,                 0.8752,                0.95255,                0.44444,                0.56588,                0.18716,                 2.4855,                  2.064,                 1.1785,              0.0005942,              0.0005942,              0.0005942
                     73,                  1.312,                0.62379,                0.87869,                0.96013,                0.44444,                0.59267,                0.19445,                 2.5503,                 2.2447,                 1.1926,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.3442,                 0.6495,                0.87423,                0.97606,                0.44444,                0.60384,                 0.2205,                 2.4481,                 1.9262,                 1.1235,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.3919,                0.65488,                0.91018,                0.97557,                0.44444,                 0.6229,                 0.2381,                 2.3114,                  1.804,                  1.087,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.3664,                0.62795,                0.88119,                0.83224,                0.55191,                0.69278,                0.25327,                 2.2342,                 1.7149,                 1.0897,               0.000515,               0.000515,               0.000515
                     77,                 1.2677,                0.59364,                 0.8633,                0.83004,                0.54458,                0.70742,                0.22697,                 2.4006,                 1.8389,                 1.1032,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.2532,                0.59041,                0.86557,                0.91687,                0.44444,                0.64328,                0.21263,                 2.3816,                 1.8709,                 1.0864,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.2558,                0.59634,                0.87094,                 0.8146,                0.44444,                0.62504,                 0.2379,                 2.3791,                  1.966,                 1.0895,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2698,                0.57379,                0.85806,                0.71216,                 0.5506,                 0.6006,                0.21461,                  2.383,                 1.9201,                 1.0982,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.2236,                0.62021,                0.85411,                0.73494,                0.55556,                0.65291,                0.22908,                  2.336,                 1.9247,                 1.0929,               0.000416,               0.000416,               0.000416
                     82,                 1.1894,                 0.5758,                0.85051,                0.75941,                0.55556,                0.66555,                0.25253,                 2.2941,                 1.8721,                  1.088,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.3015,                0.58862,                0.88786,                0.86473,                0.55556,                0.65984,                0.24026,                 2.2913,                 1.8086,                 1.0968,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.2242,                0.59607,                 0.8458,                0.89598,                0.55556,                0.65984,                0.28533,                 2.1451,                 1.8478,                 1.0655,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.2226,                0.58191,                0.88884,                 0.8799,                0.55556,                0.66307,                0.28917,                 2.1886,                 1.7687,                 1.0736,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2715,                0.58182,                0.87928,                0.82328,                0.55556,                0.65582,                0.27334,                 2.2906,                 1.6931,                 1.0925,               0.000317,               0.000317,               0.000317
                     87,                 1.2228,                0.57276,                0.88444,                0.81661,                0.55556,                0.67608,                0.30144,                 2.2376,                 1.7661,                 1.1045,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.1554,                0.54842,                0.86441,                0.81255,                0.55556,                0.66423,                0.25214,                 2.3872,                 1.8708,                 1.1411,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.2295,                0.60176,                0.84561,                0.81429,                0.55556,                0.64946,                0.26259,                 2.3894,                 1.8194,                 1.1375,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.2001,                0.56975,                0.83552,                0.81856,                0.55556,                0.65165,                0.24005,                 2.4123,                 1.8384,                 1.1374,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.2267,                0.58892,                0.87793,                0.82115,                0.55556,                0.65732,                0.24054,                 2.4307,                 1.8508,                 1.1519,               0.000218,               0.000218,               0.000218
                     92,                 1.1572,                0.55833,                0.87613,                0.81955,                0.55556,                0.64699,                0.23404,                 2.4111,                 1.7926,                 1.1685,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.1346,                0.55194,                0.86417,                 0.8184,                0.55556,                0.63598,                0.21405,                 2.3932,                 1.7433,                 1.1714,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.1097,                0.52918,                0.86514,                0.81935,                0.55556,                0.64685,                0.21491,                 2.3812,                 1.7415,                 1.1661,              0.0001586,              0.0001586,              0.0001586
                     95,                  1.211,                 0.5804,                0.85643,                0.82075,                0.55556,                0.65258,                0.23218,                 2.3334,                 1.7079,                 1.1609,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.0294,                 0.4997,                0.84938,                0.82118,                0.55556,                  0.653,                 0.2336,                 2.2824,                 1.6617,                 1.1513,               0.000119,               0.000119,               0.000119
                     97,                 1.0976,                0.52195,                0.85912,                0.82083,                0.55556,                0.65724,                 0.2374,                    2.3,                 1.6053,                 1.1522,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.0561,                0.49717,                0.83292,                 0.8205,                0.55556,                0.65781,                0.23516,                 2.3516,                 1.5793,                 1.1576,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                  1.023,                0.48441,                0.84689,                0.81984,                0.55556,                0.66399,                0.23055,                 2.3886,                 1.5506,                  1.168,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.0439,                0.50818,                0.85906,                0.81901,                0.55556,                0.66718,                0.22926,                 2.4353,                  1.473,                 1.1817,               3.98e-05,               3.98e-05,               3.98e-05
